account_name_mentioned,account_id_if_stated,sentiment,churn_signals,competitor_names,key_quotes,action_items,renewal_status,confidence,language_detected,summary,note_index,raw_text,model_used,er_matched_account_id,er_match_type,cross_validation
skyline travel,1011.0,mixed,['product_frustration'],[],"[""They're expanding internationally which is great, but struggling with our locale management."", 'Filed 3 tickets about locale fallback behavior.', 'Could go either way on renewal.']","['Arrange a conversation with the product manager (PM)', 'Follow up on locale fallback issue and ensure the v4.2 fix is applied']",needs_attention,high,en,"Skyline Travel is expanding internationally but facing locale management issues, generating product frustration and uncertainty around renewal; CSM should coordinate with the PM to resolve the fallback problem.",10,"3/26 skyline travel (1011)
They're expanding internationally which is great, but struggling with our locale 
management. Filed 3 tickets about locale fallback behavior. On SDK v4.0 so they 
missed the fix in v4.2. Could go either way on renewal. They asked to talk to PM.",openai/gpt-oss-120b,1011,exact_id,agreement
Quantum Commerce,,positive,['competitor_evaluation'],['builder.io'],"['renewal call scheduled for next week.', 'They want to add 20 seats but only if we can match a competing offer from builder.io at $X/seat.', 'API usage is actually up 40% MoM which is good leverage for us.']","[""Prepare a pricing proposal matching builder.io's offer for the additional 20 seats"", 'Confirm renewal call details and agenda', 'Leverage increased API usage in renewal discussion']",needs_attention,high,en,"Quantum Commerce is planning a renewal and seeks to add 20 seats, contingent on matching builder.io’s pricing, while API usage has risen 40% MoM, presenting an upsell opportunity.",11,"April 2 - Quantum Commerce 
renewal call scheduled for next week. They want to add 20 seats but only if we 
can match a competing offer from builder.io at $X/seat. Currently on Growth plan. 
API usage is actually up 40% MoM which is good leverage for us.",openai/gpt-oss-120b,1012,fuzzy_high,er_only
RedLeaf Healthcare,,neutral,['compliance_blocker'],[],"['Compliance audit coming up.', ""They need us to fill out a vendor security questionnaire by May 15 or they can't renew (company policy)."", ""I submitted the request to our security team on 3/20 but haven't gotten a response.""]","['Follow up with security team to obtain and submit the vendor security questionnaire before May 15', 'Escalate internally if response is delayed', 'Confirm receipt with RedLeaf Healthcare']",at_risk,high,en,"RedLeaf Healthcare needs a vendor security questionnaire completed by May 15 for compliance; the request is pending, putting the renewal at risk.",12,"4/4 RedLeaf Healthcare
Compliance audit coming up. They need us to fill out a vendor security questionnaire 
by May 15 or they can't renew (company policy). I submitted the request to our 
security team on 3/20 but haven't gotten a response. This is time-sensitive.",openai/gpt-oss-120b,1013,fuzzy_high,er_only
bluepeak software,,mixed,"['product_frustration', 'downgrade_risk']",[],"['love the DX of our APIs but hate the management console UI.', 'embarrassing to demo to stakeholders.', 'They renewed last year with reluctance.']","['Address management console UI concerns with product team', 'Schedule follow‑up meeting to discuss UI improvements and renewal confidence', 'Monitor renewal likelihood']",at_risk,high,en,"Bluepeak Software’s dev team appreciates the API developer experience but is dissatisfied with the management console UI, leading to a reluctant renewal last year and a fence‑sitting stance this cycle (NPS 6). UI frustrations pose a churn risk and require immediate attention.",13,"04/07 bluepeak software
They're a developer-heavy team and love the DX of our APIs but hate the management 
console UI. Their VP of Product called it ""embarrassing to demo to stakeholders.""
They renewed last year with reluctance. On the fence this time. NPS was 6.",openai/gpt-oss-120b,1014,fuzzy_high,er_only
evergreen media,,mixed,['m_and_a_risk'],[],"['Product is fine, team is fine, but their parent company got acquired and all vendor contracts are under review.', 'New procurement team is asking for enterprise-level SLAs on their Growth plan pricing.', ""It's a negotiation game.""]","['Engage with new procurement team to discuss enterprise-level SLAs and pricing', 'Monitor contract review process due to acquisition', 'Prepare negotiation strategy']",needs_attention,high,en,"Evergreen Media's parent company was acquired, prompting a review of vendor contracts; the new procurement team is demanding enterprise‑level SLAs on their Growth plan, creating a negotiation that puts the renewal at risk and requires close attention.",14,"4/8 evergreen media 1015
Product is fine, team is fine, but their parent company got acquired and all vendor 
contracts are under review. New procurement team is asking for enterprise-level 
SLAs on their Growth plan pricing. It's a negotiation game.",openai/gpt-oss-120b,1015,exact_id,er_only
Northstar Logistics,1016.0,negative,"['shelfware', 'downgrade_risk']",[],"['they barely use the product. 2 active users out of 15 seats.', 'classic shelfware situation.', ""they'd rather downgrade to Starter than pay full price for something they don't use.""]","['Discuss downgrade options with IT director', 'Develop plan to increase user adoption', 'Review ARR contraction risk']",at_risk,high,en,"Northstar Logistics (account 1016) is barely using the product, with only 2 of 15 seats active, indicating shelfware and a desire to downgrade, posing a significant ARR contraction risk.",15,"4/9 Northstar Logistics
account 1016 -- they barely use the product. 2 active users out of 15 seats. 
most content was migrated but nobody adopted the new workflow. classic 
shelfware situation. Their IT director told me they'd rather downgrade to Starter 
than pay full price for something they don't use. not churn per se but 
significant ARR contraction risk.",openai/gpt-oss-120b,1016,exact_id,agreement
pacific rim trading,1017.0,mixed,['relationship_issue'],[],"['mixed signals. usage metrics look healthy but the CSM relationship has been rocky.', ""they've requested a new CSM twice."", ""their last NPS comment was in mandarin so i couldn't read it -- need to get it translated.""]","['Translate the last NPS comment from Mandarin', 'Assign a new CSM or address relationship concerns', 'Plan renewal strategy ahead of May contract expiration']",needs_attention,high,en,"Pacific Rim Trading (ID 1017) shows healthy usage but a strained CSM relationship, having requested a new CSM twice and leaving an untranslated Mandarin NPS comment; renewal in May requires attention to relationship and translation of feedback.",16,"4/10 pacific rim trading (1017)
mixed signals. usage metrics look healthy but the CSM relationship has been rocky.
they've requested a new CSM twice. their last NPS comment was in mandarin so i 
couldn't read it -- need to get it translated. contract up in may.",openai/gpt-oss-120b,1017,exact_id,agreement
,1042.0,positive,[],[],"['all good, expanding to APAC team next quarter.', 'loves the product.', 'renewal is a formality according to their VP of Eng.']",[],expanding,high,en,"Account 1042 is happy with the product, planning an APAC expansion next quarter, and renewal is expected to be a formality per the VP of Engineering.",17,"3/15 acct 1042 - all good, expanding to APAC team next quarter. 
loves the product. renewal is a formality according to their VP of Eng.",openai/gpt-oss-120b,1042,exact_id,agreement
ironclad security,,positive,[],[],"['just closed a great QBR.', 'They want to add 30 more seats and upgrade to Enterprise.', 'Already got budget approval. renewal + expansion coming in May.']","['Prepare expansion order for 30 seats', 'Update contract for Enterprise upgrade', 'Confirm renewal paperwork for May']",expanding,high,en,"The customer had a successful QBR, secured budget approval, and plans to add 30 seats and upgrade to Enterprise with renewal and expansion slated for May.",18,"3/20 ironclad security
just closed a great QBR. They want to add 30 more seats and upgrade to Enterprise.
Already got budget approval. renewal + expansion coming in May. champagne time.",openai/gpt-oss-120b,1018,fuzzy_high,er_only
summit analytics,,positive,[],[],"['everything is green.', 'their dev team contributed a community plugin last month.', 'true believers.']",[],on_track,high,en,"Summit Analytics had a routine check‑in; the relationship is positive with the dev team contributing a community plugin, indicating a healthy, on‑track renewal.",19,"3/22 summit analytics - routine check-in. everything is green. 
their dev team contributed a community plugin last month. true believers.",openai/gpt-oss-120b,1019,fuzzy_high,er_only
coral bay resorts,,positive,[],[],"['Smooth sailing.', 'Renewal is locked in with a 2-year extension.', 'CSM relationship is excellent.']",[],expanding,high,en,"Coral Bay Resorts is expanding with three new properties this summer, has secured a 2‑year renewal extension, and maintains an excellent CSM relationship.",20,"04/01 coral bay resorts
Smooth sailing. They're launching 3 new properties this summer and want us to power 
all the new sites. Renewal is locked in with a 2-year extension. CSM relationship 
is excellent.",openai/gpt-oss-120b,1020,fuzzy_high,er_only
falcon aerospace,,neutral,[],[],"['their PO for renewal was submitted to procurement in January.', 'should be finalized by end of April.', 'No concerns from their side.']",['Monitor renewal finalization by end of April'],on_track,high,en,"Falcon Aerospace submitted their renewal purchase order in January and expects it to be finalized by the end of April, with no concerns expressed, indicating the renewal is on track.",21,"4/3 falcon aerospace
defense/aero customer so everything is slow and bureaucratic but their PO for renewal 
was submitted to procurement in January. should be finalized by end of April. 
No concerns from their side.",openai/gpt-oss-120b,1021,fuzzy_high,er_only
jade river tech,,positive,['explicit_churn_threat'],[],"['Random ping from their developer asking about GraphQL introspection.', 'Non-renewal related.', 'All good.']","[""Respond to developer's GraphQL introspection question""]",at_risk,high,en,"Developer queried GraphQL introspection in a non‑renewal context, but the implementation is deep and the customer reports everything is fine.",22,"3/28 jade river tech
Random ping from their developer asking about GraphQL introspection. Non-renewal 
related. They're deep in implementation. All good.",openai/gpt-oss-120b,1022,fuzzy_high,er_only
mosaic digital,,positive,[],[],"['They want to integrate with Shopify Plus.', ""Renewal isn't until December so no rush but good engagement.""]","['Follow up on Shopify Plus integration and marketplace connectors.', 'Schedule renewal discussion closer to December.']",on_track,high,en,"Mosaic Digital is interested in integrating with Shopify Plus and exploring marketplace connectors, showing good engagement with a renewal due in December, indicating a stable, on‑track relationship.",23,"4/5 - mosaic digital
They want to integrate with Shopify Plus. Asked about marketplace connectors.
Renewal isn't until December so no rush but good engagement.",openai/gpt-oss-120b,1023,fuzzy_high,er_only
beacon insurance,1024.0,neutral,[],[],"[""They're regulated so they move slow but steady."", ""renewal isn't until Q4."", 'No concerns, just maintaining the relationship.']",[],on_track,high,en,"Beacon Insurance (acct 1024) had its annual check‑in; the relationship is stable with no concerns and renewal is scheduled for Q4, indicating an on‑track renewal.",24,"04/08 beacon insurance (acct 1024)
annual check-in. They're regulated so they move slow but steady. renewal 
isn't until Q4. No concerns, just maintaining the relationship.",openai/gpt-oss-120b,1024,exact_id,agreement
Harbourside Dining,1099.0,negative,['product_frustration'],[],"['They called to ask about our GDPR data processing agreement update.', 'they seemed annoyed it took 2 weeks last time.', 'Quick turnaround needed.']","['Provide the updated GDPR data processing agreement promptly', 'Apologize for the delay and ensure faster turnaround for future requests']",needs_attention,high,en,"Harbourside Dining requested an updated GDPR data processing agreement and expressed annoyance over a two‑week delay, indicating the need for a quicker turnaround to avoid dissatisfaction.",25,"4/10 - note for account 1099 (Harbourside Dining I think?)
They called to ask about our GDPR data processing agreement update. Routine 
request but they seemed annoyed it took 2 weeks last time. Quick turnaround 
needed. -- Emily W.",openai/gpt-oss-120b,1099,exact_id,agreement
Thunderbolt Moters,,positive,[],[],"[""They're evaluating adding headless commerce to their dealer sites."", 'Positive conversation overall.', 'No renewal risk but need to send them the technical brief by EOW.']",['Send the technical brief by end of week'],on_track,high,en,"Thunderbolt Moters is evaluating headless commerce for dealer sites, showed interest in composable architecture docs, and the conversation was positive with no renewal risk; send the technical brief by EOW.",26,"march 30 - Thunderbolt Moters 
Quick sync. They're evaluating adding headless commerce to their dealer sites.
Interested in the new composable architecture docs. Positive conversation overall.
No renewal risk but need to send them the technical brief by EOW.",openai/gpt-oss-120b,1056,fuzzy_high,er_only
